"question_id","question","answer_version","accuracy","relevance","conciseness","helpfulness","overall"
"1","Theo Điều 1, nội dung quy định về phạm vi điều chỉnh là gì?","A","5","5","4","5","4.75"
"1","Theo Điều 1, nội dung quy định về phạm vi điều chỉnh là gì?","B","3","3","5","3","3.5"
"2","Theo Điều 9, nội dung quy định về việc làm, giải quyết việc làm là gì?","A","5","5","4","5","4.75"
"2","Theo Điều 9, nội dung quy định về việc làm, giải quyết việc làm là gì?","B","3","3","5","3","3.5"
"3","Theo Điều 17, nội dung quy định về hành vi người sử dụng lao động không được làm khi giao kết, thực hiện hợp đồng lao động là gì?","A","4","4","4","4","4"
"3","Theo Điều 17, nội dung quy định về hành vi người sử dụng lao động không được làm khi giao kết, thực hiện hợp đồng lao động là gì?","B","4","4","5","4","4.25"
"4","Theo Điều 25, nội dung quy định về thời gian thử việc là gì?","A","5","5","4","5","4.75"
"4","Theo Điều 25, nội dung quy định về thời gian thử việc là gì?","B","3","3","5","3","3.5"
"5","Theo Điều 33, nội dung quy định về sửa đổi, bổ sung hợp đồng lao động là gì?","A","4","4","4","4","4"
"5","Theo Điều 33, nội dung quy định về sửa đổi, bổ sung hợp đồng lao động là gì?","B","4","4","5","4","4.25"
"6","Theo Điều 41, nội dung quy định về nghĩa vụ của người sử dụng lao động khi đơn phương chấm dứt hợp đồng lao động trái pháp luật là gì?","A","4","4","4","4","4"
"6","Theo Điều 41, nội dung quy định về nghĩa vụ của người sử dụng lao động khi đơn phương chấm dứt hợp đồng lao động trái pháp luật là gì?","B","3","3","5","3","3.5"
"7","Theo Điều 50, nội dung quy định về thẩm quyền tuyên bố hợp đồng lao động vô hiệu là gì?","A","5","5","4","5","4.75"
"7","Theo Điều 50, nội dung quy định về thẩm quyền tuyên bố hợp đồng lao động vô hiệu là gì?","B","3","3","5","3","3.5"
"8","Theo Điều 58, nội dung quy định về quyền và nghĩa vụ của người lao động thuê lại là gì?","A","4","4","4","4","4"
"8","Theo Điều 58, nội dung quy định về quyền và nghĩa vụ của người lao động thuê lại là gì?","B","4","4","5","4","4.25"
"9","Theo Điều 66, nội dung quy định về nguyên tắc thương lượng tập thể là gì?","A","5","5","4","5","4.75"
"9","Theo Điều 66, nội dung quy định về nguyên tắc thương lượng tập thể là gì?","B","3","3","5","3","3.5"
