"question_id","human_winner","confidence","notes"
"1","A","high","Manual calibration label based on factuality, relevance, and conciseness."
"2","A","high","Manual calibration label based on factuality, relevance, and conciseness."
"3","B","medium","Manual calibration label based on factuality, relevance, and conciseness."
"4","B","medium","Manual calibration label based on factuality, relevance, and conciseness."
"5","B","high","Manual calibration label based on factuality, relevance, and conciseness."
"6","tie","medium","Manual calibration label based on factuality, relevance, and conciseness."
"7","A","high","Manual calibration label based on factuality, relevance, and conciseness."
"8","A","medium","Manual calibration label based on factuality, relevance, and conciseness."
"9","A","high","Manual calibration label based on factuality, relevance, and conciseness."
"10","tie","medium","Manual calibration label based on factuality, relevance, and conciseness."
